,unique_id,cuisine,district
120,node/6302331425,,"3rd District, Budapest, Hungary"
121,node/6302492685,regional,"3rd District, Budapest, Hungary"
122,node/6303527065,regional,"3rd District, Budapest, Hungary"
123,node/6303527066,regional,"3rd District, Budapest, Hungary"
124,node/6303562156,burger;regional;pizza,"3rd District, Budapest, Hungary"
125,node/6303693382,regional,"3rd District, Budapest, Hungary"
126,node/6304074630,regional,"3rd District, Budapest, Hungary"
127,node/6304074631,regional,"3rd District, Budapest, Hungary"
128,node/6304074632,regional,"3rd District, Budapest, Hungary"
129,node/6304074633,regional,"3rd District, Budapest, Hungary"
130,node/6304487783,burger;regional,"3rd District, Budapest, Hungary"
131,node/6304573701,regional,"3rd District, Budapest, Hungary"
132,node/6304573702,regional,"3rd District, Budapest, Hungary"
133,node/6304573703,regional,"3rd District, Budapest, Hungary"
134,node/6304665913,burger;regional;pizza,"3rd District, Budapest, Hungary"
135,node/6304983317,,"3rd District, Budapest, Hungary"
136,node/6305642863,regional,"3rd District, Budapest, Hungary"
137,node/6305926191,regional,"3rd District, Budapest, Hungary"
138,node/6306393794,burger,"3rd District, Budapest, Hungary"
139,node/6306780292,italian;pizza,"3rd District, Budapest, Hungary"
140,node/6306780294,regional,"3rd District, Budapest, Hungary"
141,node/6307053126,regional,"3rd District, Budapest, Hungary"
142,node/6307053127,,"3rd District, Budapest, Hungary"
143,node/6307053128,regional,"3rd District, Budapest, Hungary"
144,node/6307053129,pizza,"3rd District, Budapest, Hungary"
145,node/6307053130,kebab;turkish,"3rd District, Budapest, Hungary"
146,node/6307053131,chinese,"3rd District, Budapest, Hungary"
147,node/6307217542,regional;langos,"3rd District, Budapest, Hungary"
148,node/6307794197,italian;pizza;sandwich,"3rd District, Budapest, Hungary"
149,node/6311902159,regional,"3rd District, Budapest, Hungary"
150,node/6311912703,regional,"3rd District, Budapest, Hungary"
151,node/6328573567,,"3rd District, Budapest, Hungary"
152,node/6328669953,regional,"3rd District, Budapest, Hungary"
153,node/6390701230,regional,"3rd District, Budapest, Hungary"
154,node/6390901237,asian,"3rd District, Budapest, Hungary"
155,node/6449114538,,"3rd District, Budapest, Hungary"
156,node/6450534660,burger;regional;pizza,"3rd District, Budapest, Hungary"
157,node/6845577385,,"3rd District, Budapest, Hungary"
158,node/7035216486,italian,"3rd District, Budapest, Hungary"
159,node/7299566202,,"3rd District, Budapest, Hungary"
160,node/7299579303,,"3rd District, Budapest, Hungary"
161,node/7617689043,burger,"3rd District, Budapest, Hungary"
162,node/7720812612,,"3rd District, Budapest, Hungary"
163,node/7734833083,,"3rd District, Budapest, Hungary"
164,node/8066250417,kebab,"3rd District, Budapest, Hungary"
165,node/8376467027,,"3rd District, Budapest, Hungary"
166,node/8379364658,pizza,"3rd District, Budapest, Hungary"
167,way/40615382,burger,"3rd District, Budapest, Hungary"
168,way/251439190,regional,"3rd District, Budapest, Hungary"
169,way/251920928,regional,"3rd District, Budapest, Hungary"
